block_number,block_hash,builder_pub_key,proposer_pub_key,fee_recipient,gas_tip
15755931,0x8408be1def4643a8ec5a91c8f97c45f08665d2ddfb29f91ab275a4537b61cfe5,0x973377ac7a3f365cd7551f6fe0c08d986089451304ef06d20bad594c88724127cbb4442929949ce2277a1cde4c19574a,0xb7a93eb24377be0ae30c1995d8cc3b0d4ca1767e0fc8464ac11b728fc918277ff9c54fa5b58035989faa98f26dc65d31,0x388C818CA8B9251b393131C08a736A67ccB19297,4225986889805450
15755945,0x6f87f6de7d800389ef52f1dc940ea50a62288cba144a4bddcefffff002bb4ef5,0x973377ac7a3f365cd7551f6fe0c08d986089451304ef06d20bad594c88724127cbb4442929949ce2277a1cde4c19574a,0x984bb04c89f1b59bb93e5402bc3d6361cc1b8f61d6b82386dc482c3f7cf9bf4fab97662443f92429708e1226cab28ba0,0x388C818CA8B9251b393131C08a736A67ccB19297,39667226067657700
15755962,0x53d4882e1363bf6d40822fe2152de8689071c745cfdeeef714a7cf1d63b71a05,0x973377ac7a3f365cd7551f6fe0c08d986089451304ef06d20bad594c88724127cbb4442929949ce2277a1cde4c19574a,0x86cf923c53ef43f1072b480966ef838fb6c7da413ba1608905d68a758e764f7890b95453f21bbf4a19f1d05e0941e380,0x388C818CA8B9251b393131C08a736A67ccB19297,-1
15755971,0x52225cad5a3b77ac48faf3780399122920ec22d1bedbc00561e177d90ef73326,0x973377ac7a3f365cd7551f6fe0c08d986089451304ef06d20bad594c88724127cbb4442929949ce2277a1cde4c19574a,0x80c5a7eecd31d192f69fd438b08f3da6bbf9480e4471d94060ff63d7d38d8143eff5a65099666653ced58344144b357f,0x535B918F3724001FD6Fb52fCC6cBC220592990A3,-1
15755980,0x1d484f11befe54aa6289391791d0e6ab6c380b8ea32fd0628cb91a80f54dafdf,0x973377ac7a3f365cd7551f6fe0c08d986089451304ef06d20bad594c88724127cbb4442929949ce2277a1cde4c19574a,0x8ade2e67c4bff8c2d29b19e9349ec29aebc7d5015e853abd6483cc3b17597dbe5c012e7114410e8cd98ac8b97294c4a2,0xfFEE087852cb4898e6c3532E776e68BC68b1143B,-1
15755981,0x7b720ca4b024cca56b9eff678609dc048a4051a3f74cc654458fdbfddfd6074a,0x973377ac7a3f365cd7551f6fe0c08d986089451304ef06d20bad594c88724127cbb4442929949ce2277a1cde4c19574a,0xa6327f0a03c1fd65d0228c00d2b24e6c6b1f4d7f76f7c94b490e1092bf37551351d0bec642ae0f72f902232932ae46b2,0x535B918F3724001FD6Fb52fCC6cBC220592990A3,-1
15755982,0xda93b935303b07b85042beb00d0b00adb3afdda7d65674e5b00569f98630b01e,0x973377ac7a3f365cd7551f6fe0c08d986089451304ef06d20bad594c88724127cbb4442929949ce2277a1cde4c19574a,0xb346eb4487c3cf3a8f38ca30dc998cd51f700eb8facfbe474a4f55ee69cf201b8f315e857d757769ac03850ee2fb83a6,0x535B918F3724001FD6Fb52fCC6cBC220592990A3,-1
15756029,0x3d115b55ab4bb012f8b783afebabd9011b6efa09448ff4b596c161d619a365d4,0x973377ac7a3f365cd7551f6fe0c08d986089451304ef06d20bad594c88724127cbb4442929949ce2277a1cde4c19574a,0x93a546ce3cb253236a0de5c27515a735097a0c6d5199a8e46d401852071ba7ecdbc5dcda2e09f5b89eb1ca2f9e5b5749,0x6b333B20fBae3c5c0969dd02176e30802e2fbBdB,-1
15756033,0xe8b3f5c9107796bd0829b7d0ac6a8673dd20ef37ffc554fa9f528be29da47563,0x973377ac7a3f365cd7551f6fe0c08d986089451304ef06d20bad594c88724127cbb4442929949ce2277a1cde4c19574a,0x87743af0407f80d96b1fbc73ae208edc3b41afc89bda6d3fe9bdd793071f822f5194cac06fc5f1756ec65d69d682e297,0x388C818CA8B9251b393131C08a736A67ccB19297,-1
15756055,0x60deb30710c1197638f99d5b6c7633194a3796fe2a03b5174f0d23c7c4248d8d,0x973377ac7a3f365cd7551f6fe0c08d986089451304ef06d20bad594c88724127cbb4442929949ce2277a1cde4c19574a,0x8e7cd56dec3fee9a3d8d8de7d08ee057b79e77e4b84eeb763ff06563596e52b5626dca360067e704283d820f5acf9d72,0x30583a30D1698358E1101650C4E7f534f03e7A73,-1
15756057,0xc2ed8f5495ab88f9b16320665d0da579dcf3c6e2fac2168f786a148f4d7d3513,0x973377ac7a3f365cd7551f6fe0c08d986089451304ef06d20bad594c88724127cbb4442929949ce2277a1cde4c19574a,0xaf7cd0c64426b7dd888b593b09991acad616fe143245d1ec33d8bb7ba5ce05a6412fddb4aac9a1b5d5e0b2a0df8e9347,0x388C818CA8B9251b393131C08a736A67ccB19297,-1
15756137,0x3fa43604457ed9994222ada7364bb5def8aab6d7eb1234c7b44c0b1f4845b615,0x8cc02635b68fe0e5eb6b236c92f117e764b347a09f4bda8198d74e120ac4865865f62c28b27cf9a30e213aa346263a1f,0x8c196cb29651a604df6f7ced897e98f270c5ca13bdfce521d37c1a9852a7c51ae1ad052c866d0387407ebdc5c2c8d20e,0x388C818CA8B9251b393131C08a736A67ccB19297,-1
15756141,0xdf495f077c66618abf62bf2519909aafbc79c3de35a4e9561d7ffc46215e5333,0x8cc02635b68fe0e5eb6b236c92f117e764b347a09f4bda8198d74e120ac4865865f62c28b27cf9a30e213aa346263a1f,0x8a9754261f2da86c55d68e5adc371245ccb780a2c7fc9f191e450465cb7b9bce29bc94677b8ca6932ec31dee97f06a16,0xfFEE087852cb4898e6c3532E776e68BC68b1143B,-1
