fee_recipient,cumulative_gas_tip
0x003a4cc04501E9adecF850313db2d3797DF801a2,-1
0x01485ef10715F5B96BeFfA5552B0642E32C9aef6,-1
0x06a8a27b025f4A6A9cf7f3c777D4aD7E9466B2e7,-1
0x0E79F1F33ec7c932ed9388938726d225B83A03f5,-1
0x0c3fa60ddB4018F3A74A256FC31Fe2e882b3a1BD,-1
0x24b1D27B0f6B5A2Aa052Acf59817a8D9e7A8600A,-1
0x30583a30D1698358E1101650C4E7f534f03e7A73,-1
0x388C818CA8B9251b393131C08a736A67ccB19297,43893212957463100
0x452Cdb16371aF18fAEC8F4783266b176098CAe0C,-1
0x46011A733dB68FdbAaE0D44fb44B27C53DC8d787,-1
0x473173aDa23BE87a4740646b09F9c22d115CE5a0,-1
0x535B918F3724001FD6Fb52fCC6cBC220592990A3,-10
0x572F27cF5Bd03719D9588964C907a908877894AE,-1
0x57865ba267D48671A41431F471933aEC32a7c7d1,-2
0x5bE9B269a83018e3192D6139DC6431DE5656Ea8a,-1
0x6b333B20fBae3c5c0969dd02176e30802e2fbBdB,-1
0x804883793D83dd12976aCa8B455181f5fc19A5dF,-1
0x906219a7b1843e432a80714B584B8CE93C2005ed,-1
0xCFE2caaf3cEc97061d0939748739BFFE684aE91f,-1
0xF56EB8280970451b109F823963008F033Eaa1ca2,-1
0xa2d4535b7e453573428943ADB160Bd69285Ad681,-1
0xdd433c1956B10B019BD42de8ff8ce8C06B35F69E,-1
0xf4D1645DD1A8A44A3Dd197cbA2626161b01163c5,-1
0xfFEE087852cb4898e6c3532E776e68BC68b1143B,-20
fee_recipient,cumulative_gas_tip
0x003a4cc04501E9adecF850313db2d3797DF801a2,74909238621625000
0x01485ef10715F5B96BeFfA5552B0642E32C9aef6,46704348148986200
0x06a8a27b025f4A6A9cf7f3c777D4aD7E9466B2e7,39321516097641400
0x0E79F1F33ec7c932ed9388938726d225B83A03f5,42747719462246200
0x0c3fa60ddB4018F3A74A256FC31Fe2e882b3a1BD,26674994218837500
0x24b1D27B0f6B5A2Aa052Acf59817a8D9e7A8600A,2502871359381210
0x30583a30D1698358E1101650C4E7f534f03e7A73,6627153885700000
0x388C818CA8B9251b393131C08a736A67ccB19297,5293605879341920000
0x452Cdb16371aF18fAEC8F4783266b176098CAe0C,45476536508578700
0x46011A733dB68FdbAaE0D44fb44B27C53DC8d787,4218650618493800
0x473173aDa23BE87a4740646b09F9c22d115CE5a0,27089534216395500
0x535B918F3724001FD6Fb52fCC6cBC220592990A3,756161617986266000
0x572F27cF5Bd03719D9588964C907a908877894AE,16207956061821200
0x57865ba267D48671A41431F471933aEC32a7c7d1,35950045173536700
0x5bE9B269a83018e3192D6139DC6431DE5656Ea8a,26869719325238500
0x6b333B20fBae3c5c0969dd02176e30802e2fbBdB,29218824741690800
0x804883793D83dd12976aCa8B455181f5fc19A5dF,67988771897025600
0x906219a7b1843e432a80714B584B8CE93C2005ed,26394432083562700
0xCFE2caaf3cEc97061d0939748739BFFE684aE91f,34321963202847100
0xF56EB8280970451b109F823963008F033Eaa1ca2,89020754809767300
0xa2d4535b7e453573428943ADB160Bd69285Ad681,2238008498155360
0xdd433c1956B10B019BD42de8ff8ce8C06B35F69E,9542967376530650
0xf4D1645DD1A8A44A3Dd197cbA2626161b01163c5,87024816034205200
0xfFEE087852cb4898e6c3532E776e68BC68b1143B,681673940761476000
